Steps;Cars
458100;138
458400;135
458700;146
459000;153
459300;123
459600;143
459900;151
460200;144
460500;139
460800;152
461100;127
461400;144
461700;141
462000;142
462300;144
462600;138
462900;151
463200;142
463500;143
463800;147
464100;152
464400;12
464700;102
465000;98
465300;121
465600;122
465900;128
466200;132
466500;136
466800;83
467100;46
467400;144
467700;163
468000;157
468300;149
468600;141
468900;148
469200;144
469500;137
469800;149
470100;154
470400;151
470700;132
471000;15
471300;136
471600;134
471900;139
472200;139
472500;13
472800;145
473100;161
473400;144
473700;145
474000;141
474300;125
474600;122
474900;133
475200;14
475500;147
475800;139
476100;145
476400;144
476700;134
477000;139
477300;138
477600;153
477900;143
478200;145
478500;144
478800;132
479100;135
479400;134
479700;144
480000;135
480300;135
480600;144
480900;141
481200;131
481500;138
481800;144
482100;144
482400;142
482700;145
483000;147
483300;149
483600;145
483900;142
484200;146
484500;147
484800;142
485100;146
485400;142
485700;148
486000;133
486300;145
486600;14
486900;136
487200;151
487500;143
487800;147
488100;14
488400;117
488700;152
489000;119
489300;159
489600;143
489900;152
490200;144
490500;138
490800;134
491100;144
491400;142
491700;138
492000;138
492300;141
492600;146
492900;148
493200;149
493500;134
493800;156
494100;126
494400;154
494700;134
495000;161
495300;134
495600;157
495900;148
496200;14
496500;136
496800;133
497100;123
497400;146
497700;143
498000;126
498300;139
498600;145
498900;148
499200;152
499500;142
499800;142
500100;145
500400;139
500700;147
501000;119
501300;125
501600;135
501900;15
502200;117
502500;145
502800;144
503100;138
503400;14
503700;145
504000;14
504300;133
504600;161
504900;133
505200;139
505500;154
505800;143
506100;149
506400;157
506700;132
507000;134
507300;128
507600;137
507900;153
508200;137
508500;146
508800;14
509100;143
509400;147
509700;132
510000;156
510300;145
510600;133
510900;157
511200;148
511500;15
511800;144
512100;144
512400;14
512700;149
513000;134
513300;147
513600;138
513900;139
514200;147
514500;138
514800;143
515100;151
515400;145
515700;14
516000;138
516300;147
516600;139
516900;126
517200;124
517500;155
517800;139
518100;131
518400;144
518700;148
519000;137
519300;137
519600;144
519900;151
520200;139
520500;132
520800;152
521100;141
521400;162
521700;137
522000;135
522300;126
522600;146
522900;13
523200;145
523500;149
523800;129
524100;15
524400;147
524700;139
525300;136
525600;155
525900;139
526200;155
526500;15
526800;145
527100;128
527400;146
527700;144
528000;138
528300;153
528600;132
528900;127
529200;15
529500;144
529800;149
530100;14
530400;127
530700;125
531000;122
531300;132
531600;148
531900;149
532200;146
532500;137
532800;152
533100;138
533400;135
533700;146
534000;153
534300;123
534600;143
534900;151
535200;144
535500;139
535800;152
536100;127
536400;144
536700;141
537000;142
537300;144
537600;138
537900;151
538200;142
538500;143
538800;147
539100;152
539400;12
539700;102
540000;98
540300;121
540600;122
540900;128
541200;132
541500;136
541800;83
542100;46
542400;144
542700;163
543000;157
543300;149
543600;141
543900;148
544200;144
544500;137
544800;149
545100;154
545400;151
545700;132
546000;15
546300;136
546600;134
546900;139
547200;139
547500;13
547800;145
548100;161
548400;144
548700;145
549000;141
549300;125
549600;122
549900;133
550200;14
550500;147
550800;139
551100;145
551400;144
551700;134
552000;139
552300;138
552600;153
552900;143
553200;145
553500;144
553800;132
554100;135
554400;134
554700;144
555000;135
555300;135
555600;144
555900;141
556200;131
556500;138
556800;144
557100;144
557400;142
557700;145
558000;147
558300;149
558600;145
558900;142
559200;146
559500;147
559800;142
560100;146
560400;142
560700;148
561000;133
561300;145
561600;14
561900;136
562200;151
562500;143
562800;147
563100;14
563400;117
563700;152
564000;119
564300;159
564600;143
564900;152
565200;144
565500;138
565800;134
566100;144
566400;142
566700;138
567000;138
567300;141
567600;146
567900;148
568200;149
568500;134
568800;156
569100;126
569400;154
569700;134
570000;161
570300;134
570600;157
570900;148
571200;14
571500;136
571800;133
572100;123
572400;146
572700;143
573000;126
573300;139
573600;145
573900;148
574200;152
574500;142
574800;142
575100;145
575400;139
575700;147
576000;119
576300;125
576600;135
576900;15
577200;117
577500;145
577800;144
578100;138
578400;14
578700;145
579000;14
579300;133
579600;161
579900;133
580200;139
580500;154
580800;143
581100;149
581400;157
581700;132
582000;134
582300;128
582600;137
582900;153
583200;137
583500;146
583800;14
584100;143
584400;147
584700;132
585000;156
585300;145
585600;133
585900;157
586200;148
586500;15
586800;144
587100;144
587400;14
587700;149
588000;134
588300;147
588600;138
588900;139
589200;147
589500;138
589800;143
590100;151
590400;145
590700;14
591000;138
591300;147
591600;139
591900;126
592200;124
592500;155
592800;139
593100;131
593400;144
593700;148
594000;137
594300;137
594600;144
594900;151
595200;139
595500;132
595800;152
596100;141
596400;162
596700;137
597000;135
597300;126
597600;146
597900;13
598200;145
598500;149
598800;129
599100;15
599400;147
599700;139
600300;136
600600;155
600900;139
601200;155
601500;15
601800;145
602100;128
602400;146
602700;144
603000;138
603300;153
603600;132
603900;127
604200;15
604500;144
604800;149
605100;14
605400;127
605700;125
606000;122
606300;132
606600;148
606900;149
607200;146
607500;137
607800;152
608100;138
608400;135
608700;146
609000;153
609300;123
609600;143
609900;151
610200;144
610500;139
610800;152
611100;127
611400;144
611700;141
612000;142
612300;144
612600;138
612900;151
613200;142
613500;143
613800;147
614100;152
614400;12
614700;102
615000;98
615300;121
615600;122
615900;128
616200;132
616500;136
616800;83
617100;46
617400;144
617700;163
618000;157
618300;149
